"name_tbl","name_fld","format_4_05","format_4_06","is_active_format_4_06"
s_individual_entrepreneur_okveds_info,svokved_svokveddop_grnipdata_grnip,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_citizenship_info,svgrajd_oksm,,Файл^Документ^СвИП^СвГражд^@ОКСМ,true
s_individual_entrepreneur_egrip_history,svzapegrip_grnipdatanedpred_idzap,,Файл^Документ^СвИП^СвЗапЕГРИП^ГРНИПДатаНедПред^@ИдЗап,true
s_individual_entrepreneur_egrip_history,svzapegrip_grnipdatanedpred_datazap,,Файл^Документ^СвИП^СвЗапЕГРИП^ГРНИПДатаНедПред^@ДатаЗап,true
s_individual_entrepreneur_egrip_history,svzapegrip_vidzap_naimvidzap,,Файл^Документ^СвИП^СвЗапЕГРИП^ВидЗап^@НаимВидЗап,true
s_individual_entrepreneur_egrip_history,svzapegrip_vidzap_kodspvz,,Файл^Документ^СвИП^СвЗапЕГРИП^ВидЗап^@КодСПВЗ,true
s_individual_entrepreneur_egrip_history,svzapegrip_idzap,,Файл^Документ^СвИП^СвЗапЕГРИП^@ИдЗап,true
s_individual_entrepreneur_egrip_history,svzapegrip_datazap,,Файл^Документ^СвИП^СвЗапЕГРИП^@ДатаЗап,true
s_individual_entrepreneur_egrip_history,svzapegrip_svsvid_nomer,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСвид^@Номер,true
s_individual_entrepreneur_egrip_history,svzapegrip_svsvid_seria,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСвид^@Серия,true
s_individual_entrepreneur_egrip_history,svzapegrip_svstatuszap_grnipdataned_datazap,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСтатусЗап^ГРНИПДатаНед^@ДатаЗап,true
s_individual_entrepreneur_egrip_history,svzapegrip_svstatuszap_grnipdataned_idzap,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСтатусЗап^ГРНИПДатаНед^@ИдЗап,true
s_individual_entrepreneur_okveds_info,svokved_svokveddop_kodokved,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^@КодОКВЭД,true
s_individual_entrepreneur_okveds_info,svokved_svokveddop_prversokved,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДДоп^@ПрВерсОКВЭД,true
s_individual_entrepreneur_okveds_info,svokved_svokvedosn_kodokved,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^@КодОКВЭД,true
s_individual_entrepreneur_okveds_info,svokved_svokvedosn_naimokved,,Файл^Документ^СвИП^СвОКВЭД^СвОКВЭДОсн^@НаимОКВЭД,true
